review_business_price_range_detail,review_rating,review_business_number_rating,review_business_price_range,review_content,review_business_rating,review_business_reviews_count,review_business_name
"
                        $11-30
                    ",4.0,,2,"I swear there's nothing better than being greeted by a 800 degree brick pizza oven, the moment you enter through the front doors of Bollini's Pizzeria Napolitana. ",4.0,713.0,"
        Bollinis Pizzeria Napolitana
    "
"
                        $11-30
                    ",4.0,,2,"My colleagues and I enjoyed coming to Bollini's when I worked closer to this location. Our favorite dishes were the Arugula salad, Three leaf salad, and we'd share an Italian white pizza. The portions were decent size and definitely shareable if you wish. They also served a complimentary pizza crusted bread with olive oil. We almost get full just eating that. ",4.0,713.0,"
        Bollinis Pizzeria Napolitana
    "
"
                        $11-30
                    ",5.0,,2,"I love pit fired pizzas so I was so excited to come here. We ordered a large Gambino pizza. It comes with prouchetta, chicken, arugula, onions, and mushrooms. I liked that it was not too cheesy/salty so I didn't have to drink a bucket of water afterwards. Kudos to the pizza chef, the pizza had a nice char at the crust but the bottom was char-less (not sure if that's a thing). ",4.0,713.0,"
        Bollinis Pizzeria Napolitana
    "
"
                        $11-30
                    ",5.0,,2,"Great food, fair prices, ",4.0,713.0,"
        Bollinis Pizzeria Napolitana
    "
"
                        $11-30
                    ",5.0,,2,"MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM! nuff sed, fo sho! this joint delivers on all points. wood fired 'zza is thin crust excelsior! my girl N I dig the so many awesome pies of delicioso! their pastas rule. the arugula salad...faghettaboudit! the front/back of the house staff are equally as cool; polite N pro. NYC me is so in love w/ this spot. weekends are pretty busy, so plan accordingly. any visit here shall reward your taste buds N satiate your desire for great Italian style food!",4.0,713.0,"
        Bollinis Pizzeria Napolitana
    "
"
                        $11-30
                    ",4.0,,2,Its a family style setting with good food and great bread. Must try. Open only a few hours daily so make it count.,4.0,713.0,"
        Bollinis Pizzeria Napolitana
    "
"
                        $11-30
                    ",2.0,,2,"Last night was a fail on many levels. First, before I get blasted, it's hot in the restaurant. I know, I know. 800 degree oven. But why are ALL of these types of restaurants not warm? ",4.0,713.0,"
        Bollinis Pizzeria Napolitana
    "
"
                        $11-30
                    ",5.0,,2,Service was the best and friendly.. I've always get the rude customer service but I'm happy with the service here. ,4.0,713.0,"
        Bollinis Pizzeria Napolitana
    "
"
                        $11-30
                    ",4.0,,2,White Italian Pizza! ! Super Bomb!!!! Super delicious! Yummy! ! Not too salty and perfect! ,4.0,713.0,"
        Bollinis Pizzeria Napolitana
    "
"
                        $11-30
                    ",4.0,,2,"A good thin crust pizza joint near my house, finally! Sometimes you just want some pizza but you don't want the usual (Dominos, Pizza Hut, etc.) This is the place for it.",4.0,713.0,"
        Bollinis Pizzeria Napolitana
    "
"
                        $11-30
                    ",5.0,,2,I love everything about this place from the 49er pictures to the food! Everything is great here including their salads! I've been to several pizza restaurants but this place still remains to be my favorite!,4.0,713.0,"
        Bollinis Pizzeria Napolitana
    "
"
                        $11-30
                    ",5.0,,2,Great pizzas and pastas. You can tell the chef's take pride in the food they prepare. ,4.0,713.0,"
        Bollinis Pizzeria Napolitana
    "
"
                        $11-30
                    ",5.0,,2,Quite possibly the best pizza that I have ever tasted! Even the bread that they give you while you wait for your food is delicious.,4.0,713.0,"
        Bollinis Pizzeria Napolitana
    "
"
                        $11-30
                    ",5.0,,2,THE BEST!!!!!!!!!!!,4.0,713.0,"
        Bollinis Pizzeria Napolitana
    "
"
                        $11-30
                    ",3.0,,2,"Love the food. I guess I love the food that much that I endure the cash only, no reservations, no phone orders for dinning in cause they take forever! Did I mention the waiter who was in a bad mood and threw forks on the plate cause I did say SOMETHING!! Yeah I will be back but next time to go. Service blows. Hot as hell too",4.0,713.0,"
        Bollinis Pizzeria Napolitana
    "
"
                        $11-30
                    ",4.0,,2,Every time I come to Los Angeles I have to come to Bollini's. They have the best food and not just good pizza. Everything that I have ever eaten his has been delicious. This time my whole family came and we all just loved it.  My daughter is a regular at the restaurant so it was nice to see that servers recognized her. I will always come and to eat here. I come at least twice a year to the LA area and we will definitely keep coming back.  Thanks for the great service.,4.0,713.0,"
        Bollinis Pizzeria Napolitana
    "
"
                        $11-30
                    ",4.0,,2,"Maybe is was because it was a Sunday night and everyone was suffering from Superbowl hangover. Whatever the reason, we used to think the world of Bollini's but not so much anymore after last night's visit...",4.0,713.0,"
        Bollinis Pizzeria Napolitana
    "
"
                        $11-30
                    ",5.0,,2,LOVE THIS PLACE ! ,4.0,713.0,"
        Bollinis Pizzeria Napolitana
    "
"
                        $11-30
                    ",5.0,,2,Never disappoints you-Truly great food- the flavors bursting in your mouth is indescribable!,4.0,713.0,"
        Bollinis Pizzeria Napolitana
    "
"
                        $11-30
                    ",5.0,,2,"Atmosphere is family style. Know for their Brick Burning Pizzas. It's a very loud place. More of a social place to converse. They bring out a toasted bread with olive oil and other ingrediant which makes you crave for more, then to the main couse. Ordered the Marsala Vino. It was great. a bowl filled with bacon, pork and chicken. The aroma of basil with every bit was quite good. ",4.0,713.0,"
        Bollinis Pizzeria Napolitana
    "
"
                        $11-30
                    ",4.0,,2,Yummy yummy food. :),4.0,713.0,"
        Bollinis Pizzeria Napolitana
    "
"
                        $11-30
                    ",5.0,,2,Five stars for their pizza ... it is really good. Meets my top ten best pizza places. ,4.0,713.0,"
        Bollinis Pizzeria Napolitana
    "
"
                        $11-30
                    ",5.0,,2,"To get something simple and delish to eat doesn't always need to be at a fancy restaurant, that could be overpriced. Let's take Bollini's for example.",4.0,713.0,"
        Bollinis Pizzeria Napolitana
    "
"
                        $11-30
                    ",4.0,,2,"GET TAKE OUT! That's the only way to have a good experience here. Their food is amazing and I always come back for more, but whenever I dine in, it's always a disaster. I love the food, but the service and ambiance just doesn't cut it. ",4.0,713.0,"
        Bollinis Pizzeria Napolitana
    "
"
                        $11-30
                    ",5.0,,2,We got there around 7:00 and it was kid of busy but a table for two was open next to the kitchen. ,4.0,713.0,"
        Bollinis Pizzeria Napolitana
    "
"
                        $11-30
                    ",2.0,,2,"Quality ingredients, but poor execution. It's funny how I grew up in this part of the woods, but never really noticed this place till it popped up on Yelp when I was trying to find a place to eat around the area. I was really excited to give this place a try, given its high ratings on Yelp.",4.0,713.0,"
        Bollinis Pizzeria Napolitana
    "
"
                        $11-30
                    ",5.0,,2,I cant believe its taken me this long to leave you guys a review. My apologies!,4.0,713.0,"
        Bollinis Pizzeria Napolitana
    "
"
                        $11-30
                    ",3.0,,2,I'm sad to say i have to downgrade my 5-star review to a 3-star only because of my recent experiences/discoveries about this restaurant.,4.0,713.0,"
        Bollinis Pizzeria Napolitana
    "
"
                        $11-30
                    ",4.0,,2,This place had some good reviews and I've been told it's good . So I showed and tried it out its a bit warm inside but it did start cooling off after awhile .. It was packed I order my favorite pizza holly crap it was pretty dam good it's a thin crust packed with flavor .. Friend ordered fetticini Alfredo with potibalo mushroom and chicken ,4.0,713.0,"
        Bollinis Pizzeria Napolitana
    "
"
                        $11-30
                    ",5.0,,2,"Loveeeeeeee this restaurant! Very authentic, family oriented, and friendly atmosphere! Delicious thin crust and yummy wine! I always feel welcomed and appreciated as a customer. You definitely have to check it out ;).",4.0,713.0,"
        Bollinis Pizzeria Napolitana
    "
"
                        $11-30
                    ",5.0,,2,"We were looking for a really good pizza in the area and have tried quite a few. After driving by the Bollini's location several times while en route to other locations, we decided to give it a try. We were greatly impressed with the service, atmosphere and most definitely the food. You will not be disappointed in the experience.",4.0,713.0,"
        Bollinis Pizzeria Napolitana
    "
"
                        $11-30
                    ",4.0,,2,"B est pizza in the area, no question!",4.0,713.0,"
        Bollinis Pizzeria Napolitana
    "
"
                        $11-30
                    ",5.0,,2,It's been a while since our last visit and this one was perfect... Thanks to the all new staff the service is great food was perfect and we'll definitely be back soon.,4.0,713.0,"
        Bollinis Pizzeria Napolitana
    "
"
                        $11-30
                    ",3.0,,2,Had the Lu Lu pizza. Pretty good but a little salty.,4.0,713.0,"
        Bollinis Pizzeria Napolitana
    "
"
                        $11-30
                    ",5.0,,2,What is this five-star hole in the wall doing hiding in k-town?!?!,4.0,414.0,"
        All Angolo Pizza & Pasta
    "
"
                        $11-30
                    ",3.0,,2,"I've heard a lot about this place, and perhaps my expectations were too high and it was a bit too hyped up, because I was disappointed in my overall experience.",4.0,414.0,"
        All Angolo Pizza & Pasta
    "
"
                        $11-30
                    ",4.0,,2,Just reading the reviews/ owners replies below.. hm.. interesting.. ,4.0,414.0,"
        All Angolo Pizza & Pasta
    "
"
                        $11-30
                    ",4.0,,2,"This is a great neighborhood pizza place and always my go-to when ordering pizza to be delivered. It's definitely more artisanal than your standard pizza delivery, so if you are looking for a ""food for the masses"" type thing, this probably isn't for you. The restaurant is also tiny, so I definitely prefer it as a take-out/delivery option. ",4.0,414.0,"
        All Angolo Pizza & Pasta
    "
"
                        $11-30
                    ",1.0,,2,---- ,4.0,414.0,"
        All Angolo Pizza & Pasta
    "
"
                        $11-30
                    ",3.0,,2,"I've heard a lot of great things about All' Angolo and was expecting a lot from it. Perhaps, it was a bit too hyped for me. We ordered the Emiliana pizza, which seems to be their most popular dish. It's a pizza topped with arugula, prosciutto, parmesan, and balsamic. It was good but was a little bland for me. I wish there was more balsamic on it... I guess I could have asked for extra. ",4.0,414.0,"
        All Angolo Pizza & Pasta
    "
"
                        $11-30
                    ",4.0,,2,"Love this place! In ktown, I think this is the best pizza, definitely beats out Pizza Go or KONY. My absolute favorite is their Capricciosa, with ham, black olives (SO salty though!), artichokes and mushroom. It's pretty amazing, theirs is also very thin, like NY style. Hubs and I frequently get half and half of the Capricciosa and the Carinvora which is also just monstrous and ridiculous. ",4.0,414.0,"
        All Angolo Pizza & Pasta
    "
"
                        $11-30
                    ",2.0,,2,Pro: ,4.0,414.0,"
        All Angolo Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,Now that I'm addicted to their delivery let me comment on my staple desserts (I've ordered both at least 5 times) for those who are curious.,4.0,414.0,"
        All Angolo Pizza & Pasta
    "
"
                        $11-30
                    ",4.0,,2,"Tiny restaurant with great food. Their calamari is delicious. I requested extra lemons, but didn't end up needing it because the sauce already had a tangy kick to it.",4.0,414.0,"
        All Angolo Pizza & Pasta
    "
"
                        $11-30
                    ",4.0,,2,Authentic Italian in the heart of ktown. Worth weathering the rain for? Absolutely.,4.0,414.0,"
        All Angolo Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,"Years of living in K town, always passing by it and never had once gone inside. Until one of my cousins started working there a while back and my family and I decided to go try it, and wow hands down one of the best Italian food place ever. Everything I have tried is delicious! The pizza's are AMAZING! The pastas as well. Doesn't fail to satisfy when I'm craving some Italian food while visiting LA!",4.0,414.0,"
        All Angolo Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,"I went All' Angolo because my name is Angelo.  If your name is Angelo, you should go too!         ",4.0,414.0,"
        All Angolo Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,Best Italian in Koreatown - maybe in all of LA. ,4.0,414.0,"
        All Angolo Pizza & Pasta
    "
"
                        $11-30
                    ",2.0,,2,"This place left me borderline heartbroken. I bookmarked this place months in advance since I was visiting from Hawaii and staying in K-town, I go batsh.t crazy over pizza. I decided I wanted to try this place out on July 4th and this place says it delivers so I tried to phone in an order. I called..called again..called somemore. I must of called I kid you not, 10times?the struggle was indeed real that day. I kept getting a recording. I don't even know if they were open(it being 12pm on a holiday an all). It would of been nice to hear a recording stating if they were open or closed. So out of irritation, I give them 2stars.",4.0,414.0,"
        All Angolo Pizza & Pasta
    "
"
                        $11-30
                    ",4.0,,2,"Tiny hole in the wall, unassuming but delicious.",4.0,414.0,"
        All Angolo Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,Came down to LA to visit family and on out way back to the Bay Area stopped here to eat with the help of yelp. IT WAS THE ABSOLUTE BEST food that I have tried in Los Angeles. Not too fancy of a spot but the food is over the top delicious. ,4.0,414.0,"
        All Angolo Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,I would choose this place over any italian restaurants in LA. ,4.0,414.0,"
        All Angolo Pizza & Pasta
    "
"
                        $11-30
                    ",4.0,,2,"Had a pizza, half cappriciosa and half margarita. It was good, the cappriciosa. The margarita tasted good but was not a margarita. A real margarita has tomatoes, mozzarella, and basil. This one had no tomatoes.",4.0,414.0,"
        All Angolo Pizza & Pasta
    "
"
                        $11-30
                    ",4.0,,2,Been here several times and tried something different everytime. And everything is generally fantastic. You can see the food being prepared if you're seated next to the cooking station. Parking is pretty tough to find but there's a neighborhood around so you might get lucky. If not there's metered street parking on 3rd.,4.0,414.0,"
        All Angolo Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,All' Angolo is one of my go to spots in K-town. The food and service is superb. If you're looking for great Italian food in a casual setting this is the place. ,4.0,414.0,"
        All Angolo Pizza & Pasta
    "
"
                        $11-30
                    ",2.0,,2,this review is for the pizza only.,4.0,414.0,"
        All Angolo Pizza & Pasta
    "
"
                        $11-30
                    ",3.0,,2,"In terms of LA pizza this place is alright...I'm from the east coast so I may or may not be a pizza snob BUT I'm working on accepting this shitty dough covered in topping u all like to call ""pizza"" haha this place was pretty good tho i got delivery and it got here cold :-/ but I don't really care about that I just stuck it in the over ..the pasta was good the portion sucked tho..I think if I where to order again it might be from here ...that's all",4.0,414.0,"
        All Angolo Pizza & Pasta
    "
"
                        $11-30
                    ",3.0,,2,"Found this place on yelp and had the BF pick up for us. The order was ready fast and arrived nice and hot (granted we picked up vs delivery). We got the arugula salad, spaghetti and meatballs, rigatoni and tiramisu. BTW, when I ordered I asked the woman what the specials were, she read them SO fast I couldn't understand her. It wasn't worth asking her to repeat them because when I asked her for them in the first place she sounded a little annoyed she had to share them. She was most likely busy with the customers there but still I enjoy ordering daily specials in general.",4.0,414.0,"
        All Angolo Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,"In the heart of Ktown, you find the best pizza! We ordered margarite pizza and a cream pasta. They were absolutely amazing! The pizza was rightly baked - crispy and thin. The chef gave us flatbread to try - and it was great!",4.0,414.0,"
        All Angolo Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,What a steal I found on YELP. First they don't serve all types of (? see owner comment below) booze but will let you cork a bottle of vino for $10.,4.0,414.0,"
        All Angolo Pizza & Pasta
    "
"
                        $11-30
                    ",4.0,,2,i miss eating at this place since we moved to the valley. My all time favorite is the seafood linguini. Don't forget to save a space for the chocolate cake! pizzas are good too. would definitely go back..really can't wait :),4.0,414.0,"
        All Angolo Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,Awesome little spot in K town for fresh homemade pasta and pizzas. Definitely worth a visit. It is a small place and gets very busy so come early.,4.0,414.0,"
        All Angolo Pizza & Pasta
    "
"
                        $11-30
                    ",4.0,,2,"Walking into the restaurant, I noticed italian contemporary design and Mexican music haha! ",4.0,414.0,"
        All Angolo Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,Was pleasantly surprised with how good the food was for such a small location in an area where italian cuisine isn't a forte. (Koreatown) ,4.0,414.0,"
        All Angolo Pizza & Pasta
    "
"
                        $11-30
                    ",2.0,,2,"I forgot to review before until I was clearing out old emails, but in November I ordered online...we got 2 pizzas with ranch on the side. Put in address exactly as is written on mail and selected the proper items I wanted. ",4.0,414.0,"
        All Angolo Pizza & Pasta
    "
"
                        $11-30
                    ",4.0,,2,DESSERT: I'm basing my review off the 5ish times I've carried out food. I just had the cannoli and the tiramisu and they were both the best I've ever had. The cannoli filling was the perfect amount of sweet and the shell was crunchy and fresh. The tiramisu was amazing but a little on the small side for the price. I will order both of these again.,4.0,414.0,"
        All Angolo Pizza & Pasta
    "
"
                        $11-30
                    ",2.0,,2,"I've had this place bookmarked for such a long time, so when our Korean chicken plans fell through, we decided to check out this place (as we had both had it bookmarked for ever! Just to reiterate!)",4.0,414.0,"
        All Angolo Pizza & Pasta
    "
"
                        $11-30
                    ",4.0,,2,"i love that this authentic italian restaurant is tucked away in a strip mall in koreatown. this place is tiny, but that just makes it more intimate and serves for better customer service. i think that i've tried almost everything on the menu without regret. it may not be the fancy trendy hyped-up italian spot everyone is talking about, but it's a great little secret spot tucked away in a nondescript strip mall in koreatown. and that's okay with me.",4.0,414.0,"
        All Angolo Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,"I love this place! Best pasta and the servers are super sweet. I walk in everytime and just fall in love again with the food. The only thing I ask is for the favorite dish Penne alla Boscaiola, can it please have chicken breast instead? The chicken sausage is flavorful but I'd prefer some plain meat. Otherwise food is great!",4.0,414.0,"
        All Angolo Pizza & Pasta
    "
"
                        $11-30
                    ",4.0,,2,Very fast delivery! But I live pretty close. I got exactly what I expected and saw on pictures. Very big lasagna that is really creamy and cheesy. Next time I'll probably get something lighter because the cheese was a little too greasy but that's me not the lasagna. It was really good! I got a cheesecake that is plain with strawberry drizzle also really fresh and delicious! So worth it. Delivery is $3,4.0,414.0,"
        All Angolo Pizza & Pasta
    "
"
                        $11-30
                    ",2.0,,2,good food. ,4.0,414.0,"
        All Angolo Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,"Ok, this is THE BEST ITALIAN IN LOS ANGELES! I have been here a number of times, and I am always thrilled with this place. ",4.0,414.0,"
        All Angolo Pizza & Pasta
    "
"
                        $11-30
                    ",4.0,,2,"total hole in the wall kind of place, but you'd be amazed at the quality of the iltalian food this place offers in ktown!",4.0,414.0,"
        All Angolo Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,"As authentic as it gets, I used to live in Rome and this place really tastes like rome!",4.0,414.0,"
        All Angolo Pizza & Pasta
    "
"
                        $11-30
                    ",5.0,,2,"As Everyone Knows That Some Of The Best Grub Comes From Unk and Non Corp Places. There Are Shoe Stores Bigger Than This Place, But Not Take Away How Good The Food Is Here! ",4.5,24.0,"
        Little Trattoria 25
    "
"
                        $11-30
                    ",5.0,,2,Love this place! Been going to their original spot but once I found this closer one I'm always there! ,4.5,24.0,"
        Little Trattoria 25
    "
"
                        $11-30
                    ",4.0,,2,"Been coming here over the original Trattoria 25 these days. It's a lot faster and the food is just as good. The new rule at work seems to be if it's a daily thing we come here and if it's a special event we head over to the Trattoria 25. The co-workers and I like to sit outside and we are usually in and out in under an hour, which is so, so great!",4.5,24.0,"
        Little Trattoria 25
    "
"
                        $11-30
                    ",5.0,,2,"The service was excellent, even made us laugh. The food was amazing!!! Easily the best Italian food I have ever day. Wish I knew about this place sooner",4.5,24.0,"
        Little Trattoria 25
    "
"
                        $11-30
                    ",4.0,,2,Went here twice for my post birthday lunches during the week with 2 separate groups after going to the main restaurant for my actual birthday; so you can say I was Italian'ed out by the end of the week. Worth it though. ,4.5,24.0,"
        Little Trattoria 25
    "
"
                        $11-30
                    ",3.0,,2,Wrong place never been here,4.5,24.0,"
        Little Trattoria 25
    "
"
                        $11-30
                    ",5.0,,2,"What a find! My Friend and i were craving some italian food but didnt want to drive too far. We decided to give this place a try not expecting much. But OMG! Everyone has to try it! Don't let the neighborhood scare you away. The food was delicious, and the service on point. Good portions and prices. We will definitely go back for more.",4.5,24.0,"
        Little Trattoria 25
    "
"
                        $11-30
                    ",4.0,,2,The must be the little brother of Trattoria 25... but little brother is growing up and kicking some butt !,4.5,24.0,"
        Little Trattoria 25
    "
"
                        $11-30
                    ",5.0,,2,"I love Italian food. So delicious. Best meal I've had in a long time. The staff is amazing. friendly. Great complimentary appetizers. We ordered the Insalata Caprese and the Mozzarella, Tomato, Basil and the Balsamic Vinaigrette was fresh and light, it was perfect before our main dish. Definitely my go to for Italian food",4.5,24.0,"
        Little Trattoria 25
    "
"
                        $11-30
                    ",4.0,,2,Real Authentic Italian Food. pasta and ingredients always fresh. Won't be eating anywhere else but here. A hidden gem.,4.5,24.0,"
        Little Trattoria 25
    "
"
                        $11-30
                    ",5.0,,2,Little Trattoria 25 is ahhmazing! ,4.5,24.0,"
        Little Trattoria 25
    "
"
                        $11-30
                    ",5.0,,2,"The building might not be the most impressive of structures, but the food is Amazing. My family and I felt like getting random items from the menu, and no matter what we ordered, it tasted great. Their low prices do not match the quality of their food.",4.5,24.0,"
        Little Trattoria 25
    "
"
                        $11-30
                    ",5.0,,2,GREAT PLACE TO TAKE YOUR CLIENTS or a nice little dinner!,4.5,24.0,"
        Little Trattoria 25
    "
"
                        $11-30
                    ",4.0,,2,Had the artichoke pizza and lobster n seafood pasta. It was really good. Restaurant is clean and hosts were really nice. ,4.5,24.0,"
        Little Trattoria 25
    "
"
                        $11-30
                    ",5.0,,2,Been to the one in Vernon multiple times. I usually take all my contractors and visitors for a work lunch at the Vernon location. ,4.5,24.0,"
        Little Trattoria 25
    "
"
                        $11-30
                    ",5.0,,2,Totally psyched with this placed opened. It's the southern outpost of the hugely successful Italian restaurant in Vernon (Trattoria No. 25). Nearly identical menu - same quality food and service. I've been to that location like 20 times for business meals.,4.5,24.0,"
        Little Trattoria 25
    "
"
                        $11-30
                    ",5.0,,2,"Perfect, perfect meat.. Love the food. Daniel is simply the waiter.",4.5,24.0,"
        Little Trattoria 25
    "
"
                        $11-30
                    ",5.0,,2,"First time at any of the Trattoria restaurants and will be coming many more times. The food was great! My bf and I came during down time and the service was amazing. We got complimentary appetizers and bread, both of which tasted great. To drink I got fresh squeezed lemonade. The food quality, freshness, and services deserve 5 full stars. No complaints here.",4.5,24.0,"
        Little Trattoria 25
    "
"
                        $11-30
                    ",5.0,,2,Max does a great job! The good here is always fresh and delicious! We love coming here! We have around 14 people in out daily lunch party and they are always able to take us. I love their selection too. Daily specials are awesome.,4.5,24.0,"
        Little Trattoria 25
    "
"
                        $11-30
                    ",5.0,,2,I was a little surprised with the location Italian restaurant in HP? Lol! Food was very good and they even accommodated me by giving me chicken and white wine sauce with my linguini instead of clam sauce. Great prices for an Italian restaurant. I'll definitely be coming again to try some of their other plates.,4.5,24.0,"
        Little Trattoria 25
    "
"
                        $11-30
                    ",5.0,,2,This little place is a hidden gem. I tried the sea bass special for lunch. It was very good. The service was great and owner was friendly. This will definitely be added to my favorite spots for lunch.,4.5,24.0,"
        Little Trattoria 25
    "
"
                        $11-30
                    ",5.0,,2,"Great little place with great food! Same place as the Trattoria 25 located in Vernon. This is just a smaller version of that location, but the food and flavor is still the same. These guys know how to cook. They have great customer service. I will definitely be going here for a good sit down lunch.",4.5,24.0,"
        Little Trattoria 25
    "
"
                        $11-30
                    ",4.0,,2,I've driven past this place for over a year and finally decided to give it a try. We'll I wish I would of done it the first time I saw it. Food was great!!!! So was the service. I will be there more often!,4.5,24.0,"
        Little Trattoria 25
    "
"
                        $11-30
                    ",5.0,,2,"Delicious food been there only ones but excited to go there again!!...excellent service, our waiter was very detailed in explaining their lunch especials.so we knew exactly what to get",4.5,24.0,"
        Little Trattoria 25
    "
"
                        $11-30
                    ",5.0,,2,I loves may experience at Franco's for a few reasons: ,4.0,523.0,"
        Franco On Melrose
    "
"
                        $11-30
                    ",4.0,,2,Service- great,4.0,523.0,"
        Franco On Melrose
    "
"
                        $11-30
                    ",5.0,,2,This Italian restaurant is such a great hidden gem! ,4.0,523.0,"
        Franco On Melrose
    "
"
                        $11-30
                    ",4.0,,2,"The service here is beyond excellent! The hostess was great , polite , helpful everything you can for. Our waiter/waitress were so attentive to what we wanted or needed . The place inside is very nice! Dressy Casual but yet very romantic. There is valet. ",4.0,523.0,"
        Franco On Melrose
    "
"
                        $11-30
                    ",2.0,,2,"Christmas Eve with family is a moment to be cherished. However, this eve turned out to be one where we felt miserable.....thanks to Franco's!!!!!",4.0,523.0,"
        Franco On Melrose
    "
"
                        $11-30
                    ",4.0,,2,Great food and wonderful atmosphere!,4.0,523.0,"
        Franco On Melrose
    "
"
                        $11-30
                    ",4.0,,2,"I've known about this place for a good while now and it's never disappointed in their pasta, atmosphere, and top notch service. Their location in the heart of orange next to bruxies makes it a solid place for a date too. ",4.0,523.0,"
        Franco On Melrose
    "
"
                        $11-30
                    ",4.0,,2,Craving for some Italian Food?,4.0,523.0,"
        Franco On Melrose
    "
"
                        $11-30
                    ",4.0,,2,"Good Italian food, good service, good prices. It was nice- casual and nice to get away from some of the pretentious restaurants of Melrose...",4.0,523.0,"
        Franco On Melrose
    "
"
                        $11-30
                    ",4.0,,2,Polite staff. ,4.0,523.0,"
        Franco On Melrose
    "
"
                        $11-30
                    ",5.0,,2,"I went to Franco over the weekend, we made the reservation several hours before coming in.. the area looked shady a bit from outside- then we got in and you enter in the kitchen where the chef- Franco is making all these mouth-watering dishes. It was so hard to wait.. we were seated in a few minutes of arrival.. the place has very cozy and perfect ambiance... It was my 1st time and did not know they don't have liquor license yet- so then we went to liquor store next door and got the wine that our server(forgot the name of server) recommended and since he recommended this wine, I offered him some- and he was so happy.. :) I love sharing my wine",4.0,523.0,"
        Franco On Melrose
    "
"
                        $11-30
                    ",5.0,,2,This place has to be the best Italian restaurant around LA.,4.0,489.0,"
        Il Capriccio on Vermont
    "
"
                        $11-30
                    ",1.0,,2,I was extremely disappointed with my experience at Franco's. ,4.0,523.0,"
        Franco On Melrose
    "
"
                        $11-30
                    ",4.0,,2,What a tasty food!!!,4.0,523.0,"
        Franco On Melrose
    "
"
                        $11-30
                    ",3.0,,2,Went there this past weekend to celebrate my birthday with my husband. ,4.0,523.0,"
        Franco On Melrose
    "
"
                        $11-30
                    ",4.0,,2,"A really beautiful Italian restaurant in West Hollywood with a friendly staff, excellent service, and delicious food. Value wise, I was pleasantly surprised at the great prices, and expected to spend more. They don't have a wine list of their own, but corkage fee is only $10 which is a total bargain and extremely low, especially for the LA area. The main seating area is towards the back in the patio, which is covered and makes for a great date night. ",4.0,523.0,"
        Franco On Melrose
    "
"
                        $11-30
                    ",4.0,,2,"Great food and nice atmosphere but maybe not as romantic as I had hoped it would be. If it's a special dinner date, take her somewhere a little more romantic.",4.0,523.0,"
        Franco On Melrose
    "
"
                        $11-30
                    ",1.0,,2,The reviews for this place don't make sense! It's terrible! Just a waste of time!,4.0,523.0,"
        Franco On Melrose
    "
"
                        $11-30
                    ",4.0,,2,"Came here with husband on a Friday night 8pm to celebrate my birthday. They have valet, but we managed to find free street parking across the street from restaurant (score!). You enter front door and immediately see kitchen. Just walk through to next room where hostess greets you. Really cute dining area. It's covered but has a patio feel - lots of plants, strung lights, really open.",4.0,523.0,"
        Franco On Melrose
    "
"
                        $11-30
                    ",3.0,,2,"I came here for dinner to celebrate my friends' engagement and was even more excited to check this place out because of so many 4 or 5 star ratings. We had a party of 20 and they were able to accommodate all of us with a reservation. As soon as we walk in, the host told us if we wanted to drink, we would have to walk over to the liquor store a few businesses down to buy some wine and that there would be a corkage fee of $5.",4.0,523.0,"
        Franco On Melrose
    "
"
                        $11-30
                    ",4.0,,2,"There's alot of italian joints in LA, but this one might rank among the best, not only in quality, but price. It's not overpriced and portions are big. Parking really sucks (big surprise), but they have a $5 lot at the Bank of America, at the next adjacent block. ",4.0,489.0,"
        Il Capriccio on Vermont
    "
"
                        $11-30
                    ",4.0,,2,"I had lunch here a few weeks back. Sat at the bar. The bartender (seemed like he might also be the manager or even owner) was great and offered prompt service, as did his young daughter, who must have been on break from school and managed to make my visit more charming. ",4.0,489.0,"
        Il Capriccio on Vermont
    "
"
                        $11-30
                    ",1.0,,2,The only thing authentic about this Italian restaurant is the fact that this business has no understanding of hospitality. ,4.0,489.0,"
        Il Capriccio on Vermont
    "
"
                        $11-30
                    ",4.0,,2,Finally came here for dinner and I enjoyed it!,4.0,489.0,"
        Il Capriccio on Vermont
    "
"
                        $11-30
                    ",4.0,,2,I really like this place! It's small and intimate and the food is so authentic and delicious. ,4.0,489.0,"
        Il Capriccio on Vermont
    "
